date,timestamp,update_timestamp,wind_speed_high,wind_speed_low,wind_speed_direction,forecast_text,forecast_code,relative_humidity_high,relative_humidity_low,valid_period_text,valid_period_start,valid_period_end,temperature_high,temperature_low,time_period_text,time_period_start,time_period_end,south_forecast_text,south_forecast_code,north_forecast_text,north_forecast_code,east_forecast_text,east_forecast_code,central_forecast_text,central_forecast_code,west_forecast_text,west_forecast_code
2020-01-05,2020-01-05T05:36:00+08:00,2020-01-05T05:51:20+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,6 am to Midday 5 Jan,2020-01-05T06:00:00+08:00,2020-01-05T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T05:36:00+08:00,2020-01-05T05:51:20+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,Midday to 6 pm 5 Jan,2020-01-05T12:00:00+08:00,2020-01-05T18:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T05:36:00+08:00,2020-01-05T05:51:20+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T10:09:00+08:00,2020-01-05T10:21:19+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,6 am to Midday 5 Jan,2020-01-05T06:00:00+08:00,2020-01-05T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T10:09:00+08:00,2020-01-05T10:21:19+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,Midday to 6 pm 5 Jan,2020-01-05T12:00:00+08:00,2020-01-05T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-05,2020-01-05T10:09:00+08:00,2020-01-05T10:21:19+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 5 Jan - 6 AM 6 Jan,2020-01-05T06:00:00+08:00,2020-01-06T06:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T11:38:00+08:00,2020-01-05T11:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,Midday to 6 pm 5 Jan,2020-01-05T12:00:00+08:00,2020-01-05T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-05,2020-01-05T11:38:00+08:00,2020-01-05T11:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T11:38:00+08:00,2020-01-05T11:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T14:10:00+08:00,2020-01-05T14:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,Midday to 6 pm 5 Jan,2020-01-05T12:00:00+08:00,2020-01-05T18:00:00+08:00,Windy,WD,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Windy,WD
2020-01-05,2020-01-05T14:10:00+08:00,2020-01-05T14:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T14:10:00+08:00,2020-01-05T14:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T15:08:00+08:00,2020-01-05T15:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,Midday to 6 pm 5 Jan,2020-01-05T12:00:00+08:00,2020-01-05T18:00:00+08:00,Windy,WD,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Windy,WD
2020-01-05,2020-01-05T15:08:00+08:00,2020-01-05T15:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T15:08:00+08:00,2020-01-05T15:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 PM 5 Jan - 12 PM 6 Jan,2020-01-05T12:00:00+08:00,2020-01-06T12:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T18:17:00+08:00,2020-01-05T18:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T18:17:00+08:00,2020-01-05T18:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T18:17:00+08:00,2020-01-05T18:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-05,2020-01-05T19:25:00+08:00,2020-01-05T19:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,6 pm 5 Jan to 6 am 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T19:25:00+08:00,2020-01-05T19:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-05,2020-01-05T19:25:00+08:00,2020-01-05T19:51:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 PM 5 Jan - 6 PM 6 Jan,2020-01-05T18:00:00+08:00,2020-01-06T18:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-06,2020-01-06T00:42:00+08:00,2020-01-06T01:06:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,Midnight to 6 am 6 Jan,2020-01-06T00:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T00:42:00+08:00,2020-01-06T01:06:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T00:42:00+08:00,2020-01-06T01:06:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-06,2020-01-06T00:42:00+08:00,2020-01-06T01:06:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,6 pm to Midnight 6 Jan,2020-01-06T18:00:00+08:00,2020-01-07T00:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T02:57:00+08:00,2020-01-06T03:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,Midnight to 6 am 6 Jan,2020-01-06T00:00:00+08:00,2020-01-06T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T02:57:00+08:00,2020-01-06T03:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T02:57:00+08:00,2020-01-06T03:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-06,2020-01-06T02:57:00+08:00,2020-01-06T03:21:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,12 AM 6 Jan - 12 AM 7 Jan,2020-01-06T00:00:00+08:00,2020-01-07T00:00:00+08:00,33.0,24.0,6 pm to Midnight 6 Jan,2020-01-06T18:00:00+08:00,2020-01-07T00:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T06:14:00+08:00,2020-01-06T06:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T06:14:00+08:00,2020-01-06T06:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS,Passing Showers,PS
2020-01-06,2020-01-06T06:14:00+08:00,2020-01-06T06:36:18+08:00,30.0,15.0,NE,Passing Showers,PS,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2020-01-06T18:00:00+08:00,2020-01-07T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:19:00+08:00,2020-01-06T08:36:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:19:00+08:00,2020-01-06T08:36:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:19:00+08:00,2020-01-06T08:36:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2020-01-06T18:00:00+08:00,2020-01-07T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:29:00+08:00,2020-01-06T08:51:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 am to Midday 6 Jan,2020-01-06T06:00:00+08:00,2020-01-06T12:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:29:00+08:00,2020-01-06T08:51:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,Midday to 6 pm 6 Jan,2020-01-06T12:00:00+08:00,2020-01-06T18:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
2020-01-06,2020-01-06T08:29:00+08:00,2020-01-06T08:51:18+08:00,30.0,15.0,NE,Windy,WD,95.0,60.0,6 AM 6 Jan - 6 AM 7 Jan,2020-01-06T06:00:00+08:00,2020-01-07T06:00:00+08:00,33.0,24.0,6 pm 6 Jan to 6 am 7 Jan,2020-01-06T18:00:00+08:00,2020-01-07T06:00:00+08:00,Windy,WD,Windy,WD,Windy,WD,Windy,WD,Windy,WD
